index;x;y;z
585;-0.152740;0.980896;0.063232
586;-0.157425;0.980133;0.068283
587;-0.155426;0.983139;0.067215
588;-0.160843;0.983566;0.062714
589;-0.154465;0.981812;0.064117
590;-0.156052;0.983032;0.065857
591;-0.154892;0.984329;0.060349
592;-0.155701;0.982635;0.060165
593;-0.153488;0.983185;0.060165
594;-0.154144;0.982361;0.059372
595;-0.155197;0.982224;0.057312
596;-0.156723;0.982559;0.058365
597;-0.155548;0.982605;0.059357
598;-0.157440;0.982346;0.055954
599;-0.158707;0.981888;0.058975
600;-0.157410;0.980774;0.059967
601;-0.157318;0.984467;0.053970
602;-0.160324;0.984802;0.050888
603;-0.159485;0.981674;0.056122
604;-0.157974;0.981628;0.060577
605;-0.157593;0.983444;0.057983
606;-0.155502;0.983810;0.058670
607;-0.165237;0.984985;0.061920
608;-0.157089;0.977951;0.066147
609;-0.153107;0.978165;0.061905
610;-0.164948;0.984177;0.059494
611;-0.160446;0.983597;0.055344
612;-0.157928;0.982452;0.055084
613;-0.161209;0.984131;0.058731
614;-0.160645;0.981735;0.055130
615;-0.159225;0.982941;0.058777
616;-0.157379;0.982513;0.058456
617;-0.161560;0.983292;0.055115
618;-0.155594;0.982498;0.060120
619;-0.149261;0.981140;0.047745
620;-0.132736;0.988678;0.058014
621;-0.116119;0.989761;0.046860
622;-0.107300;0.985504;0.038864
623;-0.131073;0.989883;0.042252
624;-0.142807;0.985977;0.039139
625;-0.132324;0.985611;0.039795
626;-0.135437;0.990112;0.034454
627;-0.142075;0.992691;0.030914
628;-0.152115;0.993469;0.023453
629;-0.155228;0.993500;-0.003387
630;-0.152069;1.005936;-0.032791
631;-0.175812;1.004471;-0.142456
632;-0.164551;0.990845;-0.325775
633;-0.302856;1.090073;-0.158401
634;-0.405090;1.092270;-0.155365
635;-0.358093;0.965897;0.077316
636;-0.200089;1.010666;-0.378708
637;-0.251785;0.776169;-0.291519
638;-0.445755;0.647415;-0.232376
639;-0.578171;0.561722;-0.416077
640;-0.423920;0.644516;-0.525436
641;-0.451050;0.647385;-0.534012
642;-0.612793;0.604004;-0.533920
643;-0.469757;0.582199;-0.466263
644;-0.377884;0.509735;-0.414841
645;-0.561111;0.612030;-0.361862
646;-1.029449;0.830322;-0.286743
647;-1.274887;1.622299;-1.010834
648;-0.308838;-0.244720;0.483383
649;-0.479141;1.554291;-0.567093
650;-0.175415;0.641693;0.308807
651;-0.150070;1.394119;-0.189835
652;0.118469;1.138458;0.145584
653;-0.107941;0.923584;-0.226074
654;-0.119217;0.908829;-0.088379
655;-0.155670;0.839218;-0.203415
656;-0.082275;0.875519;0.095215
657;-0.140167;0.999420;-0.197601
658;0.062439;1.131760;0.023392
659;0.137802;1.144974;0.085251
660;-0.235840;1.168961;-0.259872
661;0.227615;1.325363;-0.025314
662;-0.078720;1.373032;0.031357
663;-0.452179;1.171967;0.281937
664;-0.728989;1.085632;0.208023
665;-0.309921;0.953171;0.062073
666;0.171173;1.000626;0.043228
667;-0.057358;0.717148;-0.069992
668;-0.361115;0.567749;0.232849
669;-0.247452;0.419540;-0.222519
670;-0.199982;0.585068;-0.364288
671;-0.521851;1.016205;-0.840332
672;-0.766830;1.190948;-1.063126
673;-0.383667;0.365829;-0.466339
674;-0.963181;1.159286;-0.254120
675;-0.858551;0.807571;-0.143387
676;-0.232300;0.481827;-0.081390
677;0.186218;1.541061;0.456772
678;0.156052;1.213730;0.011551
679;-0.408768;0.873413;-0.204605
680;-0.261246;0.834183;0.053833
681;0.045395;0.935501;-0.004807
682;-0.075287;0.870895;0.174683
683;-0.350967;1.034592;-0.392136
684;-0.049408;1.088974;0.087814
685;0.068710;1.102142;0.137573
686;-0.030930;1.270126;-0.056381
687;0.211853;1.276428;-0.159149
688;-0.044647;1.332596;0.099106
689;-0.435608;1.009857;0.166534
690;-0.617889;1.305664;0.107590
691;-0.488510;1.193115;0.044067
692;-0.002258;0.984192;0.120911
693;0.071625;0.707062;-0.050293
694;-0.292328;0.542633;0.130051
695;-0.251282;0.301117;-0.040405
696;-0.127563;0.457245;-0.426605
697;-0.605545;1.097626;-1.093658
698;-0.683945;0.949066;-0.968735
699;-1.007767;1.249268;-0.477066
700;-0.836243;0.863037;-0.493729
701;-0.028244;0.318588;0.806305
702;-0.254898;1.156662;0.547897
703;0.161682;1.553986;-0.478165
704;-0.162842;0.797241;0.108414
705;-0.207123;0.876755;-0.104935
706;-0.080856;0.966019;-0.077423
707;-0.091949;0.748917;0.052399
708;-0.192551;0.923920;-0.077515
709;-0.061890;1.150955;-0.415344
710;0.109543;1.054596;0.242691
711;0.099686;1.290939;0.150558
712;-0.001495;1.377808;-0.083389
713;-0.100113;1.188034;-0.072662
714;-0.356064;1.062897;0.232407
